id,name,price,url,picture,description,categoryId
1,Лестница на прямых косоурах прямая,620000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-pryamyh-kosourah-pryamaya.htm,https://lesenkavdome.ru/img-osnovnaya/na-pryamyh-kosourah-pryamaya.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб.
Такие лестницы называют закрытыми, то есть каркас из металла полностью зашивается отделочными материалами.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.
Перила в иллюстрациях показаны для примера и не входят в указанную стоимость. Но их всегда можно заказать как на установленную нами, так и на уже готовую вашу лестницу.
Стоимость указана под ключ с монтажом в Твери или ближайшем пригороде. Это базовый вариант с использованием сосны для компонентов из дерева.",1
2,Лестница на прямых косоурах с поворотом на 90 с площадкой,645000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-pryamyh-kosourah-s-povorotom-na-90-s-ploshchadkoj.htm,https://lesenkavdome.ru/img-osnovnaya/na-pryamyh-kosourah-s-povorotom-na-90-s-ploshchadkoj.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб.
Такие лестницы называют закрытыми, то есть каркас из металла полностью зашивается отделочными материалами.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.
Перила в иллюстрациях показаны для примера и не входят в указанную стоимость. Но их всегда можно заказать как на установленную нами, так и на уже готовую вашу лестницу.
Стоимость указана под ключ с монтажом в Твери или ближайшем пригороде. Это базовый вариант с использованием сосны для компонентов из дерева.",1
3,Лестница на прямых косоурах с поворотом на 180 с площадкой,690000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-pryamyh-kosourah-s-povorotom-na-180-s-ploshchadkoj.htm,https://lesenkavdome.ru/img-osnovnaya/na-pryamyh-kosourah-s-povorotom-na-180-s-ploshchadkoj.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб.
Такие лестницы называют закрытыми, то есть каркас из металла полностью зашивается отделочными материалами.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.
Перила в иллюстрациях показаны для примера и не входят в указанную стоимость. Но их всегда можно заказать как на установленную нами, так и на уже готовую вашу лестницу.
Стоимость указана под ключ с монтажом в Твери или ближайшем пригороде. Это базовый вариант с использованием сосны для компонентов из дерева.",1
4,Лестница на прямых косоурах с поворотом на 90 с забежными ступенями,650000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-pryamyh-kosourah-s-povorotom-na-90-s-zabezhnymi-stupenyami.htm,https://lesenkavdome.ru/img-osnovnaya/na-pryamyh-kosourah-s-povorotom-na-90-s-zabezhnymi-stupenyami.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб.
Такие лестницы называют закрытыми, то есть каркас из металла полностью зашивается отделочными материалами.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.
Перила в иллюстрациях показаны для примера и не входят в указанную стоимость. Но их всегда можно заказать как на установленную нами, так и на уже готовую вашу лестницу.
Стоимость указана под ключ с монтажом в Твери или ближайшем пригороде. Это базовый вариант с использованием сосны для компонентов из дерева.",1
5,Лестница на прямых косоурах с поворотом на 180 с забежными ступенями,660000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-pryamyh-kosourah-s-povorotom-na-180-s-zabezhnymi-stupenyami.htm,https://lesenkavdome.ru/img-osnovnaya/na-pryamyh-kosourah-s-povorotom-na-180-s-zabezhnymi-stupenyami.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб.
Такие лестницы называют закрытыми, то есть каркас из металла полностью зашивается отделочными материалами.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.
Перила в иллюстрациях показаны для примера и не входят в указанную стоимость. Но их всегда можно заказать как на установленную нами, так и на уже готовую вашу лестницу.
Стоимость указана под ключ с монтажом в Твери или ближайшем пригороде. Это базовый вариант с использованием сосны для компонентов из дерева.",1
6,Лестница на ломанных косоурах прямая,360000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-lomannyh-kosourah-pryamaya.htm,https://lesenkavdome.ru/img-osnovnaya/na-lomannyh-kosourah-pryamaya.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб. В некоторых случаях используются специально вырезанные детали из листовой стали 5 - 6 мм.
Такие лестницы называют открытыми, то есть каркас из металла не имеет сплошной зашивки.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.",1
7,Лестница на ломанных косоурах с поворотом на 90 с площадкой,385000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-lomannyh-kosourah-s-povorotom-na-90-s-ploshchadkoj.htm,https://lesenkavdome.ru/img-osnovnaya/na-lomannyh-kosourah-s-povorotom-na-90-s-ploshchadkoj.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб. В некоторых случаях используются специально вырезанные детали из листовой стали 5 - 6 мм.
Такие лестницы называют открытыми, то есть каркас из металла не имеет сплошной зашивки.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.",1
8,Лестница на ломанных косоурах с поворотом на 180 с площадкой,410000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-lomannyh-kosourah-s-povorotom-na-180-s-ploshchadkoj.htm,https://lesenkavdome.ru/img-osnovnaya/na-lomannyh-kosourah-s-povorotom-na-180-s-ploshchadkoj.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб. В некоторых случаях используются специально вырезанные детали из листовой стали 5 - 6 мм.
Такие лестницы называют открытыми, то есть каркас из металла не имеет сплошной зашивки.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.",1
9,Лестница на ломанных косоурах с поворотом на 90 с забежными ступенями,390000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-lomannyh-kosourah-s-povorotom-na-90-s-zabezhnymi-stupenyami.htm,https://lesenkavdome.ru/img-osnovnaya/na-lomannyh-kosourah-s-povorotom-na-90-s-zabezhnymi-stupenyami.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб. В некоторых случаях используются специально вырезанные детали из листовой стали 5 - 6 мм.
Такие лестницы называют открытыми, то есть каркас из металла не имеет сплошной зашивки.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.",1
10,Лестница на ломанных косоурах с поворотом на 180 с забежными ступенями,400000,https://lesenkavdome.ru/kartochki-lestnicy/lestnica-na-lomannyh-kosourah-s-povorotom-na-180-s-zabezhnymi-stupenyami.htm,https://lesenkavdome.ru/img-osnovnaya/na-lomannyh-kosourah-s-povorotom-na-180-s-zabezhnymi-stupenyami.jpg,"Основой для данной лестницы служит металлический каркас из профильных труб. В некоторых случаях используются специально вырезанные детали из листовой стали 5 - 6 мм.
Такие лестницы называют открытыми, то есть каркас из металла не имеет сплошной зашивки.
Лестница может быть установлена в домах из любых материалов, в том числе из дерева. В домах из бревна и бруса применяются специальные скользящие крепления маршей для компенсации усадки.
Возможна установка лестничных ограждений из дерева, металла (в т.ч кованых) и стекла (закалённое, триплекс) в любых сочетаниях с креплением как на марши, так и с боковым креплением.",1
